country,pop,density pop,sex ratio,gdp,gdp_percap,%agric,%indust,%services,unemployment,exports,imports,%urbanpop,fertility,inf_mort,internet,exp_fem,exp_male,cat
Afghanistan,35530,54.4,106.3,20270,623.2,23.3,23.3,53.3,8.6,1458,3568,26.7,5.3,68.6,42,63.5,61,4
Albania,2930,106.9,101.9,11541,3984.2,22.4,26,51.7,15.8,1962,4669,57.4,1.7,14.6,130,79.9,75.6,2
Algeria,41318,17.3,102,164779,4154.1,12.2,37.3,50.5,11.4,29992,47091,70.7,3,27.7,135,76.5,74.1,2
Angola,29784,23.9,96.2,117955,4714.1,6.8,51.2,42,6.6,21011,8790,44.1,6,65.4,146,63,57.4,4
Argentina,44271,16.2,95.9,632343,14564.5,6,27.8,66.2,6.5,57733,55610,91.8,2.3,13.7,256,79.8,72.2,2
Armenia,2930,102.9,88.8,10529,3489.1,19,28.3,52.8,16.6,1776,3230,62.7,1.6,13.2,114,77,70.6,2
Australia,24451,3.2,99.3,1230859,51352.2,2.5,26.5,71.1,5.5,189630,189406,89.4,1.9,3.9,948,84.4,80.2,1
Austria,8736,106,96.2,376967,44117.7,1.3,28.3,70.4,6.2,145503,149299,66,1.4,3.3,118,83.5,78.4,1
Azerbaijan,9828,118.9,99.3,53049,5438.7,6.7,49.9,43.4,5.2,9143,8532,54.6,2.1,31.4,97,74.6,68.6,2
Bahamas,395,39.5,95.9,8854,22817.2,1.6,12.7,85.7,14.7,365,2904,82.9,1.8,9.1,86,78.1,72,2
Bahrain,1493,1963.9,168.3,31126,22600.2,0.3,40.7,59,1.3,12892,14749,88.8,2.1,6.9,36,77.5,75.6,2
Bangladesh,164670,1265,101.7,194466,1207.9,15.5,28.1,56.3,4,36031,52624,34.3,2.2,33.3,151,72.9,69.8,4
Barbados,286,664.5,91.9,4385,15429.4,1.7,12.1,86.2,11.3,517,1621,31.5,1.8,9.6,56,77.7,72.9,2
Belarus,9468,46.7,87,54609,5750.8,7.5,38.9,53.6,0.5,23414,27464,76.7,1.6,3.6,25,77.7,66.5,2
Belgium,11429,377.5,97.3,455107,40277.8,0.7,22.2,77.1,8.3,398033,372713,97.9,1.8,3.5,37,83,78,1
Belize,375,16.4,99.2,1721,4789.4,14.6,18.5,66.9,11.5,246,952,44,2.6,14.3,117,72.7,67.2,3
Benin,11176,99.1,99.5,8476,779.1,23.2,24.9,51.9,1,410,2630,44,5.2,67.7,88,61.4,58.5,4
Bhutan,808,21.2,113.1,2074,2677.1,17.2,43.9,38.8,2.4,616,1688,38.6,2.2,30.5,71,68.9,68.6,3
Bolivia (Plurinational State of),11052,10.2,100.2,32998,3076.8,12.6,31,56.5,3.8,6969,8374,68.5,3,42.9,231,70.2,65.3,3
Bosnia and Herzegovina,3507,68.8,96.4,16251,4265,7.3,26.5,66.2,25.4,5327,9130,39.8,1.3,7.6,91,78.8,73.7,2
Botswana,2292,4,97.7,14391,6360.6,2.4,33.4,64.2,18.6,7321,6103,57.4,2.9,35.2,28,66.1,59.8,3
Brazil,209288,25,96.6,1772591,8528.3,5.2,22.7,72,12.4,185235,137552,85.7,1.8,15.8,990,78.4,71,2
Brunei Darussalam,429,81.3,106,12930,30552.7,1.1,60.2,38.7,2.1,4875,2679,77.2,1.9,6.5,193,78.4,75.1,2
Bulgaria,7085,65.3,94.6,48953,6846.8,5.1,27.6,67.2,8.1,26088,28875,73.9,1.5,8.3,104,77.8,70.8,2
Burkina Faso,19193,70.2,99.5,11065,611.1,34.5,21.8,43.7,2.9,2019,3699,29.9,5.6,64.8,31,59.3,58,4
Burundi,10864,423.1,96.9,2735,244.6,36.3,13.9,49.8,1.7,123,625,12.1,6,77.8,61,58,54.2,4
Cabo Verde,546,135.6,99.3,1603,3080.2,9.5,19.8,70.7,10.5,29,485,65.5,2.5,22.5,65,74,70.1,3
Cambodia,16005,90.7,95.3,18050,1158.7,28.2,29.4,42.3,0.3,13204,15313,20.7,2.7,29.9,255,69.6,65.5,4
Cameroon,24054,50.9,100.2,28416,1217.3,22.7,28.3,49.1,4.6,2130,4899,54.4,5,67.5,775,57.7,55.1,4
Canada,36624,4,98.5,1552808,43205.6,1.8,28.6,69.6,7.1,388911,402954,81.8,1.6,4.7,122,83.8,79.7,1
Central African Republic,4659,7.5,97.3,1633,333.2,34.9,24.8,40.4,6.9,213,147,40,5.1,93.5,60,51,47.8,4
Chad,14900,11.8,100.2,10009,713,25.4,39,35.6,5.8,1990,1371,22.5,6.3,91.2,43,52.8,50.5,4
Chile,18055,24.3,98.2,240796,13416.2,3.9,32.8,63.3,6.8,59884,58804,89.5,1.8,7.4,197,81.3,76.2,2
"China, Hong Kong SAR",7365,7014.2,85.1,309236,42431,0.1,7.2,92.7,3.5,516588,547124,100,1.2,1.6,64,86.4,80.5,1
China,1409517,150.1,106.3,11158457,8109.1,9.2,41.1,49.7,4.6,2118981,1588696,55.6,1.6,11.6,1080,77.2,74.2,2
Colombia,49066,44.2,96.8,292080,6056.1,6.8,34,59.2,10.5,31045,44831,76.4,1.9,17.9,835,77.4,70.2,2
Comoros,814,437.4,101.8,1079,1368.9,30.7,4,65.3,20,20,193,28.3,4.6,58.1,114,64.5,61.2,4
Congo,5261,15.4,100.1,8493,1838.1,4.7,70,25.3,11.5,2540,9793,65.4,4.9,46.5,134,64.1,61,4
Costa Rica,4906,96.1,100.1,52958,11015,5.1,21.5,73.4,8.6,9908,15322,76.8,1.9,9.3,340,81.7,76.7,2
Croatia,4189,74.9,93.1,48676,11479.4,4.1,26.6,69.3,11.7,13648,21830,59,1.5,3.9,176,80.4,73.6,2
Cuba,11485,107.9,100.1,87206,7656.6,5,20.5,74.5,3,18000,4911,77.1,1.7,5.5,339,81.3,77.1,2
